ISBN,Rating,Price,Pages,Rating Count,Language_Dummy,Size_Dummy,Famous_Dummy,Categories_Dummy,Serie_Dummy
9.78E+12,4.3,11.69,320,36772,English,Big,Famous,Top_Category,Serie
9.78E+12,3.77,1.45,235,200338,English,Big,Famous,Top_Category,Serie
9.78E+12,3.88,4.36,394,135778,English,Other,Famous,Other,Serie
9.78E+12,4.3,2.5,455,104180,English,Other,Other,Top_Category,Serie
9.78E+12,3.96,14.14,446,221395,English,Big,Famous,Other,Serie
9.78E+12,3.75,4.17,544,72038,English,Other,Other,Top_Category,Serie
9.78E+12,3.99,0.85,474,519245,English,Big,Famous,Top_Category,Other
9.78E+12,3.79,2.76,653,128702,English,Other,Other,Other,Other
9.78E+12,4.01,5.26,216,121960,English,Big,Famous,Top_Category,Other
9.78E+12,3.63,4.82,105,106642,English,Big,Famous,Top_Category,Other
9.78E+12,4.58,12.46,565,18072,English,Other,Famous,Top_Category,Other
9.78E+12,3.96,5.38,348,46282,English,Other,Other,Top_Category,Other
9.78E+12,3.77,1.98,797,60027,English,Big,Famous,Top_Category,Other
9.78E+12,4.2,2.55,369,31846,English,Big,Famous,Top_Category,Serie
9.78E+12,4.04,12.75,337,69036,English,Big,Famous,Top_Category,Other
9.78E+12,3.89,6.22,246,560816,English,Big,Famous,Top_Category,Other
9.78E+12,3.98,3.19,291,203953,English,Big,Other,Top_Category,Other
9.78E+12,4.34,2.39,608,83870,English,Other,Other,Other,Other
9.78E+12,4.09,5,372,387431,English,Big,Famous,Other,Other
9.78E+12,3.9,3.11,520,49863,English,Big,Famous,Top_Category,Other
9.78E+12,4.33,5.52,320,160056,English,Big,Famous,Top_Category,Other
9.78E+12,4.09,3.9,369,128927,English,Big,Famous,Top_Category,Other
9.78E+12,3.63,2.86,432,195863,English,Big,Other,Top_Category,Other
9.78E+12,4.18,3.55,416,105317,English,Big,Famous,Top_Category,Other
9.78E+12,4.02,2.92,355,112848,English,Big,Famous,Top_Category,Serie
9.78E+12,4.26,2.87,288,752358,English,Big,Other,Top_Category,Other
9.78E+12,4.12,22.02,705,90180,English,Big,Other,Other,Other
9.78E+12,3.86,1.6,228,39204,English,Big,Famous,Other,Other
9.78E+12,4.11,6.9,279,45545,English,Other,Other,Top_Category,Other
9.78E+12,3.84,7.46,690,57301,English,Big,Famous,Top_Category,Other
9.78E+12,4.06,4.1,397,291489,English,Big,Famous,Other,Serie
9.78E+12,4.05,4.3,147,50175,English,Big,Famous,Top_Category,Other
9.78E+12,4.04,0.88,288,60966,English,Other,Famous,Top_Category,Other
9.78E+12,4.09,6.04,351,111896,English,Other,Other,Top_Category,Serie
9.78E+12,3.62,2.82,404,19185,English,Big,Famous,Top_Category,Other
9.78E+12,4.23,7.24,288,93453,English,Big,Famous,Top_Category,Serie
9.78E+12,4.25,5.28,488,67122,English,Other,Famous,Top_Category,Other
9.78E+12,4.15,5.26,592,37413,English,Big,Famous,Top_Category,Other
9.78E+12,4.01,3.19,512,237587,English,Big,Famous,Top_Category,Other
9.78E+12,4.05,2.86,436,77935,English,Other,Famous,Top_Category,Serie
9.78E+12,4.23,4.71,463,163647,English,Big,Famous,Top_Category,Serie
9.78E+12,3.91,0.85,213,66425,English,Big,Famous,Other,Other
9.78E+12,4.13,3.71,352,84503,English,Other,Famous,Other,Serie
9.78E+12,4.19,5.26,314,28339,English,Big,Other,Top_Category,Other
9.78E+12,3.97,4.5,358,239779,English,Big,Famous,Top_Category,Other
9.78E+12,3.94,3.39,507,46181,English,Big,Famous,Top_Category,Other
9.78E+12,4.15,3.24,400,144654,English,Big,Famous,Top_Category,Other
9.78E+12,3.68,1.76,376,53972,English,Big,Other,Top_Category,Other
9.78E+12,4.04,3.8,416,97105,English,Big,Famous,Top_Category,Serie
9.78E+12,4.21,5.39,958,36300,English,Big,Other,Top_Category,Other
9.78E+12,4.16,3.02,289,128191,English,Big,Famous,Top_Category,Other
9.78E+12,3.71,5.31,122,80050,English,Big,Other,Other,Other
9.78E+12,3.69,4.72,273,114826,English,Big,Famous,Top_Category,Other
9.78E+12,3.73,2.94,432,723487,English,Big,Other,Top_Category,Serie
9.78E+12,4.02,5.69,387,153485,English,Other,Famous,Top_Category,Serie
9.78E+12,3.99,3.16,483,351882,English,Big,Famous,Top_Category,Other
9.78E+12,4.08,3.33,483,55388,English,Big,Famous,Top_Category,Serie
9.78E+12,4.24,4.55,432,56929,English,Big,Famous,Other,Serie
9.78E+12,4,5.26,416,64285,English,Big,Famous,Top_Category,Other
9.78E+12,4.09,3.91,240,39511,English,Big,Other,Top_Category,Other
9.78E+12,4.33,3.11,681,49332,English,Big,Famous,Other,Serie
9.78E+12,4.28,19.76,400,140015,English,Big,Famous,Top_Category,Other
9.78E+12,4.28,9.93,956,44348,English,Big,Famous,Top_Category,Other
9.78E+12,4.17,4.53,165,39058,English,Big,Famous,Top_Category,Other
9.78E+12,4.23,11.41,376,82841,English,Big,Famous,Top_Category,Serie
9.78E+12,3.79,13.69,286,49141,English,Big,Famous,Top_Category,Serie
9.78E+12,4.2,5.95,224,158946,English,Big,Famous,Top_Category,Serie
9.78E+12,4.02,3.45,219,65288,English,Big,Famous,Other,Other
9.78E+12,3.96,3.16,672,54468,English,Big,Other,Top_Category,Other
9.78E+12,4.07,2.87,387,88016,English,Big,Famous,Top_Category,Serie
9.78E+12,3.85,3.47,240,101764,English,Big,Famous,Top_Category,Serie
9.78E+12,3.7,3.9,152,54061,English,Big,Famous,Top_Category,Other
